sp,lat,long
"Kannabateomys_amblyonyx",-25.93707,-54.25622
"Kannabateomys_amblyonyx",-26.62042,-54.10411
"Kannabateomys_amblyonyx",-26.82223,-54.85308
"Kannabateomys_amblyonyx",-27.02369,-54.68783
"Kannabateomys_amblyonyx",-25.98236,-53.89725
"Kannabateomys_amblyonyx",-25.68011,-54.45373
"Kannabateomys_amblyonyx",-27.60254,-55.32734
"Kannabateomys_amblyonyx",-25.67848,-54.45587
"Lonchothrix_emiliae",-2.5,-55.16667
"Lonchothrix_emiliae",-2.66,-54.83
"Makalata_didelphoides",2.82,-59.53
"Makalata_didelphoides",4.28,-58.52
"Makalata_didelphoides",4.38,-58.92
"Makalata_didelphoides",-11.8432067161882,-48.6359940764553
"Makalata_didelphoides",-14.7672,-61.0347
"Makalata_didelphoides",4.75,-59.02
"Makalata_didelphoides",4.73,-58.85
"Makalata_didelphoides",6.05,-67.42
"Makalata_didelphoides",4.53,-59.08
"Makalata_didelphoides",4.73,-58.72
"Makalata_didelphoides",-13.5517,-61.0083
"Makalata_didelphoides",-3.63,-52.37
"Makalata_didelphoides",-3.65,-52.37
"Makalata_didelphoides",0.08,-76.98
"Makalata_didelphoides",7.32,-71.95
"Makalata_didelphoides",-8.25,-74.717
"Makalata_didelphoides",9.32,-62.93
"Makalata_didelphoides",0.05,-76.78
"Makalata_didelphoides",10.3875,-75.1356
"Makalata_didelphoides",5.61667,-55.2
"Makalata_didelphoides",5.78333,-55.41667
"Makalata_didelphoides",3.11667,-56.45
"Makalata_didelphoides",10.01662,-73.50002
"Makalata_didelphoides",-4,-77.33333
"Makalata_didelphoides",0.13333,-74.68333
"Makalata_didelphoides",10.56667,-61.26667
"Makalata_didelphoides",10.25,-60.96667
"Makalata_didelphoides",1.75,-58.03333
"Makalata_didelphoides",5.98333,-58.55
"Makalata_didelphoides",-3.13333,-58.41667
"Makalata_didelphoides",-3.83333,-62.08333
"Makalata_didelphoides",4.93333,-52.33333
"Makalata_didelphoides",-4.33333,-70.08333
"Makalata_didelphoides",-1,-49.5
"Makalata_didelphoides",10.71667,-61.35
"Makalata_didelphoides",4.90833,-52.30835
"Makalata_didelphoides",2.26213,-52.86497
"Makalata_didelphoides",4.93204,-52.30095
"Makalata_didelphoides",-12.7333,-41.6167
"Makalata_didelphoides",4.9333,-52.3333
"Makalata_didelphoides",-5.86666667,-49.88333333
"Makalata_didelphoides",-6.55000000,-50.75000000
"Makalata_didelphoides",-6.75000000,-70.00000000
"Makalata_didelphoides",-3.65000000,-52.36666667
"Makalata_didelphoides",-3.26,-52.94
"Makalata_didelphoides",-3.62,-59.63
"Makalata_occasius",-1.0833,-77.9667
"Makalata_occasius",-1.0833,-77.95
"Makalata_occasius",-12.65,-70.333333333333 
"Mesomys_hispidus",1.99,-56.09
"Mesomys_hispidus",1.994,-56.092
"Mesomys_hispidus",1.99449,-56.09211
"Mesomys_hispidus",-0.66,-76.45
"Mesomys_hispidus",-0.69,-76.43
"Mesomys_hispidus",4.93333,-55.2
"Mesomys_hispidus",4.933,-55.2
"Mesomys_hispidus",4.93,-55.2
"Mesomys_hispidus",-14.5792,-60.9142
"Mesomys_hispidus",-11.78,-73.341
"Mesomys_hispidus",-9.59734355082377,-55.9288122963645
"Mesomys_hispidus",-14.7672,-61.0347
"Mesomys_hispidus",-3.74806,-73.24722
"Mesomys_hispidus",-4.33694,-73.19778
"Mesomys_hispidus",-0.63,-76.47
"Mesomys_hispidus",-0.65,-76.45
"Mesomys_hispidus",-0.68,-76.43
"Mesomys_hispidus",4.1,-59.05
"Mesomys_hispidus",3.25,-59.25
"Mesomys_hispidus",-2.54819058987473,-76.1095084482994
"Mesomys_hispidus",-8.66667,-72.78333
"Mesomys_hispidus",-8.36667,-72.81667
"Mesomys_hispidus",-3.28333,-66.2333
"Mesomys_hispidus",-3.31667,-66
"Mesomys_hispidus",-12.957,-68.882
"Mesomys_hispidus",-3.31667,-66.01667
"Mesomys_hispidus",-3.28333,-66.23333
"Mesomys_hispidus",-13.503,-69.683
"Mesomys_hispidus",-12.838,-69.295
"Mesomys_hispidus",-13.142,-69.607
"Mesomys_hispidus",-10.667,-66.85
"Mesomys_hispidus",-10.767,-66.733
"Mesomys_hispidus",-10.7667,-66.7333
"Mesomys_hispidus",-6.83333,-70.08333
"Mesomys_hispidus",-6.8,-70.7333
"Mesomys_hispidus",-6.75,-70.85
